Ets1	Vegfa
Ets1	Zeb1
Ets2	Cd4
Ets2	Csf3r
Ets2	Dusp6
Ets2	Egr1
Ets2	Etv4
Ets2	Flt4
Ets2	Hmox2
Ets2	Ifne
Ets2	Kit
Ets2	Krt8
Ets2	Mir126a
Ets2	Nab2
Ets2	Pcyt1a
Ets2	Setdb1
Ets2	Sh2d1a
Ets2	Stab1
Ets2	Tlr13
Etv1	Ebf1
Etv1	Fgf10
Etv1	Nab2
Etv1	Pomc
Etv1	Th
Etv4	Dusp6
Etv4	Erbb2
Etv4	Gpx5
Etv4	Mmp9
Etv4	Mta2
Etv4	Ptgs2
Etv4	Tert
Etv4	Tgfbr2
Etv4	Vim
Etv4	Zhx1
Etv5	Cav1
Etv5	Elmo1
Etv5	Il17f
Etv5	Parg
Etv5	Ptgs2
Ewsr1	Fgf10
Ewsr1	Tert
Eya1	Atoh1
Fosl2	Adipoq
Fosl2	Tcirg1
Fosl2	Tgfb1
Fosl2	Tgfb3
Foxc1	Cxcl12
Foxc1	Cxcr4
Foxc1	Dll4
Foxc1	Hey2
Foxc1	Msx2
Foxc1	Runx2
Foxc1	Snai1
Foxc1	Tbx1
Foxc2	Cxcr4
Foxc2	Dll4
Foxc2	Gja4
Foxc2	Hand1
Foxc2	Hey2
Foxc2	Tbx1
Foxd1	Lhb
Foxd1	Pgf
Foxh1	Gsc
Foxh1	Mef2c
Foxh1	Mixl1
Foxh1	Nodal
Foxh1	Smad2
Foxj3	Mef2c
Foxl2	Fshb
Foxl2	Mc2r
Foxn1	Dsg4
Foxn1	Notch1
Foxn4	Dll4
Foxo1	Adipoq
Foxo1	Adipor1
Foxo1	Akt1
Foxo1	Alpl
Foxo1	Angpt2
Foxo1	Apoc3
Foxo1	Bglap2
Foxo1	Casp8
Foxo1	Ccl2
Foxo1	Ccng2
Foxo1	Ccr2
Foxo1	Ccr7
Foxo1	Edn1
Foxo1	Egr1
Foxo1	Fasl
Foxo1	Foxp3
Foxo1	Fshb
Foxo1	G6pc
Foxo1	Igfbp1
Foxo1	Ikzf1
Foxo1	Il7r
Foxo1	Klf2
Foxo1	Lhb
Foxo1	Lpl
Foxo1	Mmp13
Foxo1	Myh7
Foxo1	Nos3
Foxo1	Ostn
Foxo1	Pdk4
Foxo1	Pik3r1
Foxo1	Pparg
Foxo1	Runx2
Foxo1	Sell
Foxo1	Trib3
Foxp1	Fgf16
Foxp1	Fgf17
Foxp1	Fgf20
Foxp1	Fgf3
Foxp1	Lhx3
Foxp3	Brca1
Foxp3	Ctla4
Foxp3	Erbb2
Foxp3	Il2
Foxp3	Il22
Foxp3	Opn1sw
Foxp3	Skp2
Foxp3	Tnfrsf18
Foxq1	Mylk
Gabpa	Chrne
Gabpa	Cox4i1
Gabpa	Cyp7b1
Gabpa	Il10
Gabpa	Il7r
Gabpa	Skp2
Gabpa	Sod3
Gabpb1	Sod3
Gata2	Angpt2
Gata2	Rc3h1
Gata2	Smad6
Gata2	Tac2
Gata2	Tshb
Gata4	Adora1
Gata4	Ankrd1
Gata4	Bmp4
Gata4	Dmrt1
Gata4	Epor
Gata4	Hesx1
Gata4	Hexim1
Gata4	Hhex
Gata4	Hspa5
Gata4	Id2
Gata4	Ifi204
Gata4	Lhx9
Gata4	Lrrc10
Gata4	Mef2c
Gata4	Nkx2-5
Gata4	Nppa
Gata4	Nppb
Gcfc2	Egfr
Gcgr	G6pc
Gfi1b	Elf4
Gfi1b	Gfi1b
Gfi1b	Meis1
Gfi1b	Rag1
Gfi1b	Rag2
Gfi1b	Rcor2
Gfi1b	Socs1
Grin1	Cox4i1
Gsc	Foxh1
Gsc	Gsc2
Gsc	Mixl1
Gsx2	Ppp1r1b
Gtf2a2	Bglap
Gtf2i	Akap12
Gtf2i	Ccl7
Gtf2i	Cfdp1
Gtf2i	Csrp2
Gtf2i	Dlk1
Gtf2i	Folr1
Gtf2i	Gsc
Gtf2i	Hspa5
Gtf2i	Id1
Gtf2i	Nsd1
Gtf2i	Sec23a
Gtf2i	Tgfb2
Gtf2i	Tgfbr2
Gtf2ird1	Ccl7
Gtf2ird1	Csrp2
Gtf2ird1	Dlk1
Gtf2ird1	Folr1
Gtf2ird1	Tgfb2
Gtf2ird1	Tgfbr2
Gzf1	Hoxa10
Hand2	Dbh
Hand2	Dlx5
Hand2	Dlx6
Hand2	Msx1
Hand2	Phox2b
Hand2	Runx2
Hdac11	Il10
Hdac4	Runx2
Hdgf	Vegfa
Hdgf	Vegfb
Hes1	Ascl1
Hes1	Cdkn1c
Hes1	Coro1a
Hes1	Htr1a
Hes1	Map2
Hes6	Hes1
Hes6	Htr1a
Hesx1	Cga
Hesx1	Fshb
Hesx1	Lhb
Hesx1	Pou1f1
Hesx1	Prop1
Hexim1	Vegfa
Hey1	Gata4
Hey1	Id1
Hey1	Nppa
Hey1	Olig2
Hey1	Runx2
Hey2	Gata4
Hey2	Mmp10
Hey2	Nppa
Heyl	Nppa
Hgf	Met
Hhex	Esm1
Hic1	Atoh1
Hic1	Efna1
Hif1a	Fam162a
Hif1a	Bace1
Hif1a	Bsg
Hif1a	Cited2
Hif1a	Ctgf
Hif1a	Dll4
Hif1a	Epo
Hif1a	G6pc
Hif1a	Hey1
Hif1a	Hey2
Hif1a	Mdk
Hif1a	Myocd
Hif1a	Pfkfb3
Hif1a	Ptgs2
Hif1a	Serpine1
Hif1a	Snai1
Hif1a	Tuft1
Hif1a	Vegfa
Hivep2	Bglap2
Hivep2	Pparg
Hlf	Abcb1a
Hlf	Epo
Hmga1	Brca1
Hmga1	Insr
Hmga1	Rag2
Hmga1	Rbp4
Hmga2	Igf2bp2
Hmga2	Mia
Hmga2	Nkx2-5
Hmga2	Snai1
Hmgb2	Runx2
Hoxa1	Epha2
Hoxa10	Dkk1
Hoxa10	Hlf
Hoxa10	Mylk
Hoxa10	Phgdh
Hoxa10	Tdo2
Hoxa2	Meox1
Hoxa2	Pcp4
Hoxa2	Runx2
Hoxa2	Six2
Hoxa4	Th
Hoxa5	Igfbp1
Hoxa5	Th
Hoxb1	Epha2
Hoxb1	Phox2b
Hoxb2	Hoxb1
Hoxb2	Phox2b
Hoxb3	Hoxb1
Hoxb8	Acta2
Hoxb8	Mylk
Hoxb8	Tagln
Hoxc13	Dsg4
Hoxc13	Foxq1
Hoxd13	Bmp4
Hoxd13	Runx2
Hr	Dlx3
Htatip2	Igf1
Htatip2	Wisp2
Id1	Alpl
Id1	Bglap2
Id1	Runx2
Id1	Thbs1
Id2	Alpl
Id2	Bglap2
Id2	Col1a2
Id2	Tcf3
Id2	Il10
Id2	Lipe
Id2	Runx2
Id2	Tpt1
Id3	Adipoq
Id3	Alpl
Id3	Bglap2
Id3	Col1a2
Id3	Notch1
Id3	Runx2
Id3	Smarcc1
Id3	Vcam1
Id4	Esr1
Ifi204	Bglap2
Ikzf1	Casz1
Ikzf1	Cd4
Ikzf1	Cd79a
Ikzf1	Fgfr4
Ikzf1	Igll1
Ikzf1	Il10
Ikzf1	Il2
Ikzf1	Il7r
Ikzf1	Notch1
Ikzf1	Oprd1
Ikzf1	Oprk1
Ikzf1	Osr1
Ikzf1	Prom1
Ikzf1	Rag1
Ikzf2	Il2
Ikzf2	Rc3h1
Ikzf3	Igll1
Il10	Foxc1
Ilf2	Acrv1
Ilf3	Acrv1
Ilf3	Il2
Ilk	Mmp9
Insm1	Gata2
Insm1	Lmx1b
Insm1	Pet1
Insm1	Tph2
Isl1	Fgf10
Isl1	Mef2c
Isl1	Msx1
Isl1	Tbx5
Jarid2	Notch1
Jazf1	Mef2c
Kat2b	Gata4
Kat2b	Irs1
Kat2b	Mef2c
Kat2b	Npr1
Kat5	Col2a1
Kat5	Nppa
Kat5	Tpt1
Klf10	Mycn
Klf10	Smad2
Klf12	Tfap2a
Klf15	Acss1
Klf15	Clcnkb
Klf15	Mcm2
Klf15	Rbp3
Klf15	Rho
Klf16	Drd1
Klf16	Drd2
Klf16	Klf16
Klf2	Pparg
Klf2	Reln
Klf2	Sell
Klf2	Thbd
Klf3	Acta1
Klf3	Ckm
Klf3	Hbb-bh1
Klf3	Hbb-y
Klf3	Klf8
Klf3	Six4
Klf5	Egr1
Klf5	Ltf
Klf5	Mcm2
Klf5	Pdgfa
Klf5	Runx2
Klf5	Serpine1
Klf5	Tcl1
Klf5	Vegfa
Klf6	Asah1
Klf6	Pttg1
Klf6	Serpinh1
Klf7	Ntrk1
Klf8	Mmp14
Kpna2	Klf2
Ldb2	Fgf10
Lhx2	Cga
Lhx2	Olfr151
Lhx2	Rarres2
Lhx2	Rax
Lhx2	Rig1
Lhx2	Robo2
Lhx2	Tshb
Lhx3	Cga
Lhx9	Rig1
Lmx1b	Fgf8
Lmx1b	Nphs2
Lmx1b	Pet1
Lmx1b	Tph2
Mapk1	Egr1
Mapk14	Egr1
Maz	Clcnkb
Maz	Htr1a
Maz	Rag2
Maz	Sp4
Mbd1	Fgf2
Mbd1	Htr2c
Mbd2	Oprd1
Med1	Crabp1
Med1	Fam89b
Med1	Pparg
Med23	Cd52
Med23	Egr1
Med23	Egr2
Med6	Fabp4
Med8	Fabp4
Mef2c	Ampd1
Mef2c	Bglap
Mef2c	Bglap2
Mef2c	Calr
Mef2c	Capn2
Mef2c	Ckm
Mef2c	Dlx5
Mef2c	Dlx6
Mef2c	Frzb
Mef2c	Hand2
Mef2c	Hdac4
Mef2c	Il10
Mef2c	Il1rn
Mef2c	Myh4
Mef2c	Myh1
Mef2c	Myom1
Mef2c	Myom2
Mef2c	Myom3
Mef2c	Myoz2
Mef2c	Rgr
Mef2c	Rho
Mef2c	Runx2
Mef2c	Sfrp2
Mef2c	Sp7
Mef2d	Myh1
Meis1	Flt3
Meis1	Krt19
Meis1	Ptch1
Meis1	Tgfbr2
Meis2	Egr2
Meis2	Krt19
Meis2	Tgfbr2
Meox1	Nkx3-2
Meox1	Tbx18
Meox1	Uncx
Mixl1	Gsc
Mixl1	Kdr
Mixl1	Pdgfra
Mkl1	Edn1
Mkl1	Id3
Mkl1	Srf
Mkl1	Tagln
Mkx	Scx
Mkx	Tgfb2
Mllt3	Hoxd4
Mllt3	Scnn1a
Msc	Gata4
Msc	Gjd3
Msx1	Atoh1
Msx1	Bmp4
Msx1	Cga
Msx1	Ets1
Msx1	Fgf3
Msx1	Myocd
Msx1	Ptch1
Msx1	Srf
Msx1	Stra8
Msx1	Tagln
Msx2	Alpl
Msx2	Atoh1
Msx2	Neurod6
Msx2	Bglap
Msx2	Bglap2
Msx2	Dkk1
Msx2	Dlx5
Msx2	Dspp
Msx2	Enpp1
Msx2	Ets1
Msx2	Ihh
Msx2	Lss
Msx2	Mepe
Msx2	Myocd
Msx2	Pparg
Msx2	Runx2
Msx2	Sp7
Msx2	Srf
Msx2	Tagln
Mycn	Igfbp2
Mycn	Igfbp6
Mycn	Ndrg1
Mycn	Nrgn
Mycn	Ptdss1
Mycn	Smad4
Myef2	Myl2
Myocd	Acta2
Myocd	Mylk
Myocd	Tagln
Myocd	Tgfb1i1
Mzf1	Sell
Mzf1	Sod3
Nab1	Egr1
Nab1	Egr2
Nab1	Ifngr1
Nab1	Lhb
Nab2	Egr2
Nab2	Id2
Nab2	Id4
Nab2	Tnfsf10
Ncoa1	Adipoq
Ncoa1	Ar
Ncoa1	Esr1
Ncoa1	Gata4
Ncoa1	Itga5
Ncoa1	Mef2c
Ncoa1	Nfkbia
Ncoa1	Psat1
Ncoa1	Usp17le
Ncoa2	Adipoq
Ncoa2	Ar
Ncoa2	G6pc
Ncoa2	Nfkbia
Ncoa4	Ar
Ncoa6	Socs1
Ncor1	Hes1
Ncor1	Nfkbia
Ncor1	Tshb
Ncor2	Hes1
Ncor2	Klkb1
Ncor2	Nfkbia
Ncor2	Sirt1
Neurod6	Plppr4
Neurod6	Ybx1
Nf1	Adam8
Nf1	Fam89b
Nfatc2ip	Il2
Nfatc3	B3gat1
Nfatc3	Il2
Nfatc3	Mir23a
Nfatc4	B3gat1
Nfatc4	Myoz1
Nfatc4	Myoz2
Nfatc4	Ptgs2
Nfia	Fam89b
Nfia	Gabra6
Nfia	Gfap
Nfia	Hgf
Nfia	Slc2a4
Nfib	Col2a1
Nfib	Fam89b
Nfic	Ccl2
Nfic	Col1a1
