Aebp2	Jarid2
Aebp2	Snai2
Aes	Ihh
Alx4	Fgf10
Ankrd1	Myl2
Ankrd1	Nppa
Apbb1	Lrp1
Apbb1	Notch1
Apc	Ctnnb1
Apc	Tcf4
Ar	Ccr2
Ar	Cga
Ar	Fkbp5
Ar	Foxa1
Ar	Klkb1
Ar	Nkx3-1
Ar	Nr0b1
Ar	Psat1
Ar	Runx2
Ar	Sox2
Ar	rsl
Arid5b	Sox9
Arntl2	Thbd
Arx	Kdm5c
Arx	Shh
Ascl1	Bub1
Ascl1	Dll3
Ascl1	Dll4
Ascl1	Hes5
Ascl1	Pdgfra
Ascl1	Phox2a
Ascl1	Rnd3
Ascl1	Tph2
Atf3	Atf3
Atf3	Ccnd1
Atf3	Gck
Atf3	Pdx1
Atf3	Sort1
Atf3	Tnfrsf10b
Atf4	Bglap3
Atf4	Cdkn1a
Atf4	Cdkn1b
Atf4	Ddr2
Atf4	Fgf15
Atf4	Fgf2
Atf4	Hspa5
Atf4	Ihh
Atf4	Mir106b
Atf4	Sphk2
Atf4	Trib3
Atf6	Hspa5
Atf6	Wbp1
Atoh1	Barhl1
Atoh1	Hes6
Barx2	Acta2
Barx2	L1cam
Barx2	Pax1
Bcl11a	Frzb
Bcl6b	Rbpj
Bmp4	Chst11
Bmp6	Mycn
Brca2	Cdkn1a
Cbfa2t3	Epb42
Cbx6	Ccne1
Cdx1	Ccl25
Cdx1	Cdx2
Cdx2	Ccl25
Cdx2	Cdh17
Cdx2	Cdx1
Cdx2	Cdx4
Cdx2	Glb1
Cdx2	Heph
Cdx2	Kitl
Cdx2	Mgam
Cdx2	Nanog
Cdx2	Pou5f1
Cdx2	Shh
Cdx2	Sis
Cdx2	Xist
Cdx4	Hoxa9
Chd7	Gli3
Chd7	Jag1
Chd7	Mycn
Chd7	Sox11
Chd7	Sox4
Cnot3	Zfx
Cnot7	Tob1
Cops5	Hand2
Creb3l3	Smurf1
Crebzf	Adipoq
Ctcf	Atxn7
Ctcf	Celsr3
Ctcf	Igf2
Ctcf	Irak2
Ctcf	Mgat5b
Ctcf	Pax6
Ctnnb1	Atoh1
Ctnnb1	Axin2
Ctnnb1	Bglap
Ctnnb1	Bglap2
Ctnnb1	Birc5
Ctnnb1	Bmp4
Ctnnb1	Ccl7
Ctnnb1	Ccnd1
Ctnnb1	Ccne1
Ctnnb1	Cdh1
Ctnnb1	Cdx1
Ctnnb1	Cdx2
Ctnnb1	Cdx4
Ctnnb1	Cyp19a1
Ctnnb1	Ephb2
Ctnnb1	Fgf8
Ctnnb1	Fgfbp1
Ctnnb1	Vegfd
Ctnnb1	Foxa2
Ctnnb1	Foxj1
Ctnnb1	Gast
Ctnnb1	Gja1
Ctnnb1	Glul
Ctnnb1	Grem2
Ctnnb1	Ihh
Ctnnb1	Inha
Ctnnb1	Isl1
Ctnnb1	Lect2
Ctnnb1	Lef1
Ctnnb1	Lhb
Ctnnb1	Met
Ctnnb1	Mitf
Ctnnb1	Mmp13
Ctnnb1	Mmp7
Ctnnb1	Mycn
Ctnnb1	Myf5
Ctnnb1	Nanog
Ctnnb1	Neurog1
Ctnnb1	Nr0b1
Ctnnb1	Otx2
Ctnnb1	Pdgfra
Ctnnb1	Pitx2
Ctnnb1	Pml
Ctnnb1	Rapsn
Ctnnb1	Runx2
Ctnnb1	Smc3
Ctnnb1	Tbx3
Ctnnb1	Tcf4
Ctnnb1	Twist1
Ctnnb1	Wisp1
Ctnnb1	Wnt1
Ctnnb1	Wnt4
Cux2	Cdkn1b
Dach1	Ccnd1
Dach1	Cdkn1b
Dach1	Klf4
Dach1	Lin28a
Dach1	Nanog
Dach1	Sox2
Dach2	Myog
Ddx5	Igf2
Dlx1	Arx
Dlx2	Amelx
Dlx2	Arx
Dlx2	Dlx6
Dlx2	Foxj1
Dlx2	Nrp2
Dlx2	Pagr1a
Dlx3	Bglap
Dlx3	Dspp
Dlx3	Hsd3b6
Dlx3	Pgf
Dlx3	Runx2
Dlx5	Alpl
Dlx5	Dspp
