p2	p4	021C	021D	021U	030C	030T
0.5	0.5	-2.11±1.001	-2.838±0.908	-4.523±1.354	-2.805±0.685	5.665±1.983
0.5	0.7	-2.976±1.489	-3.442±1.377	-4.782±0.984	-2.636±0.406	3.627±2.685
0.5	0.9	-1.223±0.96	-1.824±0.812	-3.577±1.055	-1.753±0.69	6.2±1.03
0.7	0.5	-4.609±0.589	-4.869±0.547	-2.65±0.981	-2.835±0.311	1.891±1.217
0.7	0.7	-3.543±0.83	-3.745±0.776	-2.415±0.358	-2.705±0.359	1.357±1.971
0.7	0.9	-3.58±0.815	-3.784±0.797	-2.049±0.786	-2.778±0.266	2.277±1.286
0.9	0.5	-4.148±0.985	-4.199±1.006	-0.666±1.021	-2.425±0.392	0.347±1.112
0.9	0.7	-3.916±0.762	-4.05±0.728	-1.139±0.469	-2.96±0.28	1.418±0.762
0.9	0.9	-4.834±0.347	-4.962±0.357	-0.286±0.761	-2.586±0.248	0.382±0.573
